主题（中文）,主题（英文）,问题（中文）,问题（英文）,替换词（中文）,Substitutions (English)
我的过去和你分享,SHARE MY PAST,小时候你遇到过哪些惊心动魄的事？,What thrilling experiences did you have as a child?,玄幻、愤怒、惊喜、始终不解,"mystical, angry, surprising, baffling"
可以聊敏感话题吗,CAN DISCUSS SENSITIVE TOPICS,有趣的灵魂和美好的外表你更爱哪个？,"Which do you prefer, an interesting soul or a beautiful appearance?",精神世界/物质需求、表达/倾听、做自己/满足他人、爱情/面包,"spiritual world/material needs, expressing/listening, being yourself/pleasing others, love/bread"
你这样看世界啊,"SO, THIS IS HOW YOU SEE THE WORLD",你认为谈恋爱要考证吗？,Do you think dating requires certification?,当父母、当朋友、见义勇为、结婚,"being a parent, being a friend, acting heroically, marriage"
我们的边界,OUR BOUNDARIES,别人做的什么事让你很想骂人？,What does someone do that makes you want to curse?,觉得被冒犯、觉得不可思议、三观尽碎、醍醐灌顶,"feel offended, feel inconceivable, feel your values are completely shattered, enlightened"
我的过去和你分享,SHARE MY PAST,儿时你最喜欢的玩具是什么？,What was your favorite toy in childhood?,,
你这样看世界啊,"SO, THIS IS HOW YOU SEE THE WORLD",你是否相信命中注定？,Do you believe in destiny?,努力一定有结果、出身决定命运、一见钟情、有情人必终成眷属,"effort always yields results, birth determines fate, love at first sight, true lovers will eventually get married"
我们的幻想世界,WONDERLANDI,假如和人工智能谈恋爱，你会如何设计ta的面容？,"If you were dating with artificial intelligence, how would you design its face?",性格、身材、说话方式、恋爱史,"personality, figure, way of speaking, dating history"
聯聊我和你,ALL ABOUT YOU AND ME,长途旅行时你是那个做攻略的人吗？,"During long trips, are you the one who makes the travel plans?",做预算、会考虑最糟情况、自由随性、听从安排,"who makes a budget, considering the worst-case scenario, being free-spirited, following arrangements"
你这样看世界啊,"SO, THIS IS HOW YOU SEE THE WORLD",安排一场约会要准备哪些事情？,What preparations are needed to arrange a date?,朋友聚会、求婚、大餐、婚礼,"friends' gathering, marriage proposal, delicious feast, wedding"
我的过去和你分享,SHARE MY PAST WITH YOU,你小时候被父母揍过吗？因为什么？,Were you ever beaten by your parents when you were a child? For what reason?,骂、误解、温暖、忽视,"scolded, misunderstood, warmed, ignored"
